,Open,High,Low,Close,Volume,Market Cap,Open,High,Low,Close,Volume,Market Cap,Open,High,Low,Close,Volume,Market Cap,Open,High,Low,Close,Volume,Market Cap,Open,High,Low,Close,Volume,Market Cap,Open,High,Low,Close,Volume,Market Cap,Coin
0,0.692158,0.726134,0.692158,0.724746,2017060,-,0.585081,0.611303,0.547921,0.5596979999999999,940973,53267500,9.53,9.74,7.44,8.31,5933250,867381000,,,,,,,,,,,,,,,,,,,KCS
0,20.38,20.58,18.98,20.37,6789300,-,6.53,6.76,5.78,5.82,15557000,219478000,21.2,22.78,19.49,20.78,40753600,895856000,13.41,13.47,12.83,13.38,71895500,571597000,,,,,,,,,,,,,HSR
0,0.032677,0.035979,0.030143,0.034275,133793,-,0.243008,0.253126,0.229602,0.24191500000000002,192799,22782000,0.727534,0.73573,0.674989,0.6872560000000001,483794,69617000,3.33,3.87,3.33,3.69,4924670,324668000,2.84,2.84,2.48,2.53,1025370,287236000,,,,,,,ARK
0,1.06,1.19,1.03,1.08,10689000,-,2.2,3.21,2.14,3.0,10433800,54844600,4.83,5.45,4.82,5.21,14023000,120325000,20.29,21.7,19.42,21.28,4823950,505105000,,,,,,,,,,,,,WTC
0,0.16823,0.175339,0.146197,0.171036,4373940,-,0.137327,0.142716,0.125658,0.130854,1856100,137327000,0.246734,0.253316,0.2227,0.237483,3429980,246734000,0.186629,0.195637,0.185511,0.195462,4521830,186629000,,,,,,,,,,,,,BAT
0,0.001156,0.001156,0.00114,0.001144,641,-,0.004574,0.006114,0.004536,0.005754,5665,67642,0.002443,0.002661,0.002351,0.002356,1021,82896,0.003902,0.004145,0.003481,0.004111999999999999,83,167934,0.014797,0.018578,0.013641,0.017182,7818,760055,6.61,6.61,4.41,5.98,7524760,366902000,PIVX
0,2.7,2.7,2.7,2.7,79554,-,1.32,1.41,1.2,1.25,143660,-,5.01,5.58,4.64,5.27,261749,225717000,4.81,4.93,4.44,4.69,1196660,217478000,,,,,,,,,,,,,CNX
0,1.1,1.14,1.04,1.12,83836700,-,1.62,2.1,1.57,1.98,73716000,406094000,0.641266,0.690965,0.629031,0.632073,17904300,160316000,,,,,,,,,,,,,,,,,,,ELF
0,0.260317,0.279968,0.260121,0.269727,1142060,-,1.96,3.09,1.95,2.55,21727200,466728000,1.5,1.56,1.46,1.48,1918710,358768000,,,,,,,,,,,,,,,,,,,DRGN
0,0.048293,0.056039,0.043821,0.046714,41819,-,0.147224,0.153924,0.13457,0.134794,476273,33286200,0.679779,0.813634,0.581081,0.8022279999999999,8607550,153692000,0.408957,0.441281,0.406363,0.418702,4558250,92461800,,,,,,,,,,,,,SUB
0,0.210281,0.274959,0.162177,0.18821400000000002,29947,-,0.103044,0.13873,0.095114,0.096604,2063,902324,0.645167,0.648219,0.564102,0.587863,275522,5647710,1.61,1.68,1.6,1.66,160433,14065500,2.91,2.95,2.83,2.86,450570,25474800,16.51,17.6,16.14,17.31,536718,144396000,FCT
0,48.96,253.27,33.71,48.56,450758,-,169.0,191.82,92.97,179.7,1094770,332598000,101.36,112.28,98.67,109.04,519034,203849000,109.63,158.47,107.82,153.86,966945,222115000,,,,,,,,,,,,,VERI
0,0.482456,0.531807,0.453917,0.503455,9608310,-,0.955009,1.09,0.909827,0.9582649999999999,16916700,334253000,0.972089,1.04,0.972089,1.02,5598330,340231000,,,,,,,,,,,,,,,,,,,QASH
0,0.431519,0.448466,0.431519,0.446883,165758,-,0.304252,0.33968,0.284088,0.332545,272142,200568000,,,,,,,,,,,,,,,,,,,,,,,,,CENNZ
0,0.078064,0.148609,0.078064,0.11775999999999999,557,319365,0.058993,0.063603,0.0572,0.060192999999999997,1482,325555,,,,,,,0.103501,0.114268,0.102997,0.10664900000000001,4844,1249810,0.132286,0.143079,0.124903,0.13512000000000002,10841,2306120,0.067183,0.073841,0.065807,0.068299,3722,2014710,MONA
